region,eys_male,eys_female
Kepulauan Aru,12.4,12.92
Seram Bagian Barat,13.5,13.83
Seram Bagian Timur,13.03,13.49
Maluku Barat Daya,12.8,13.23
Buru Selatan,12.98,13.08
Kota Ambon,15.67,16.71
Kota Tual,14.02,14.88
MALUKU UTARA,13.81,13.76
Halmahera Barat,13.23,13.33
Halmahera Tengah,13.72,13.6
Kepulauan Sula,13.22,13.16
Halmahera Selatan,13.2,12.92
Halmahera Utara,13.81,13.74
Halmahera Timur,13.54,12.95
Pulau Morotai,13.19,13.11
Pulau Taliabu,12.79,13.12
Kota Ternate,15.95,15.93
Kota Tidore Kepulauan,14.22,15.33
PAPUA BARAT,13.21,13.2
Fakfak,14.8,15.38
Kaimana,12.52,12.51
Teluk Wondama,11.92,12.11
Teluk Bintuni,12.88,12.61
Manokwari,14.02,13.84
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,12.84,13.25
Pegunungan Arfak,11.82,9.46
Kota Sorong,-,-
PAPUA BARAT DAYA,13.73,14.03
Raja Ampat,12.5,12.2
Sorong,14.12,13.95
Sorong Selatan,14.07,13.13
Maybrat,14.53,13.45
Tambrauw,13.23,11.79
Kota Sorong,14.38,14.68
PAPUA,13.66,14.13
Merauke,-,-
Jayawijaya,-,-
Jayapura,14.59,14.86
Nabire,-,-
Kepulauan Yapen,12.95,13.46
Biak Numfor,14.26,14.24
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,13.14,12.61
Keerom,12.73,12.52
Waropen,13.04,12.96
Supiori,13.83,12.96
Mamberamo Raya,12.26,11.92
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,15.54,15.27
PAPUA SELATAN,12.92,12.56
Merauke,14.51,14.49
Boven Digoel,11.96,11.62
Mappi,11.37,11.91
Asmat,9.95,9.61
PAPUA TENGAH,9.71,9.44
Mimika,13.13,13.36
Dogiyai,10.53,10.91
Deiyai,10.85,9.56
Nabire,13.01,12.97
Paniai,11.07,10.19
Intan Jaya,8.5,7.17
Puncak,5.91,5.44
Puncak Jaya,7.69,7.66
PAPUA PEGUNUNGAN,9.96,10.1
Nduga,5.63,4.45
Jayawijaya,13.44,12.19
Lanny Jaya,10.6,9.53
Tolikara,9.4,8.8
Mamberamo Tengah,10.53,9.46
Yalimo,10.28,9.84
Yahukimo,8.47,8.06
Pegunungan Bintang,7.27,7.59
INDONESIA,13.16,13.46
